word_id,old_english,old_portuguese,old_ipa,new_english,new_portuguese,new_ipa,reason
52,acima,əbrɑ:d,abroad,abroad,acima,əbrɑ:d,"rotate: english(pt), portuguese(ipa), ipa(en)"
179,amador,əmeɪzɪñ,amazing,amazing,amador,əmeɪzɪñ,"rotate: english(pt), portuguese(ipa), ipa(en)"
180,surpreendente,æmbɪʃən,ambition,ambition,surpreendente,æmbɪʃən,"rotate: english(pt), portuguese(ipa), ipa(en)"
237,acesso,əproʊpriət,appropriate,appropriate,acesso,əproʊpriət,"rotate: english(pt), portuguese(ipa), ipa(en)"
250,argumentar,ɑ:rm,arm,arm,argumentar,ɑ:rm,"rotate: english(pt), portuguese(ipa), ipa(en)"
442,bicicleta,bɪd,bid,bid,bicicleta,bɪd,"rotate: english(pt), portuguese(ipa), ipa(en)"
552,partes menores,brɛkfəst,breakfast,breakfast,partes menores,brɛkfəst,"rotate: english(pt), portuguese(ipa), ipa(en)"
658,camelo,kæmrə,camera,camera,camelo,kæmrə,"rotate: english(pt), portuguese(ipa), ipa(en)"
791,arrepio,tʃɪmni,chimney,chimney,arrepio,tʃɪmni,"rotate: english(pt), portuguese(ipa), ipa(en)"
944,unir,kɑ:mpr ɪhɛnd,comprehend,comprehend,unir,kɑ:mpr ɪhɛnd,"rotate: english(pt), portuguese(ipa), ipa(en)"
945,compreender,kɑ:mpr əmaɪz,compromise,compromise,compreender,kɑ:mpr əmaɪz,"rotate: english(pt), portuguese(ipa), ipa(en)"
946,compromisso,kəmpiu:t,compute,compute,compromisso,kəmpiu:t,"rotate: english(pt), portuguese(ipa), ipa(en)"
947,computar,kəmpiu:t ər,computer,computer,computar,kəmpiu:t ər,"rotate: english(pt), portuguese(ipa), ipa(en)"
948,computador,kɑ:mr æd,comrade,comrade,computador,kɑ:mr æd,"rotate: english(pt), portuguese(ipa), ipa(en)"
953,conceito,kənsərn,concern,concern,conceito,kənsərn,"rotate: english(pt), portuguese(ipa), ipa(en)"
988,preservar,kənsɪdər,consider,consider,preservar,kənsɪdər,"rotate: english(pt), portuguese(ipa), ipa(en)"
989,considerar,kənsɪdərəbəl,considerable,considerable,considerar,kənsɪdərəbəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
1009,satisfazer,kɑ:nt ɛst,contest,contest,satisfazer,kɑ:nt ɛst,"rotate: english(pt), portuguese(ipa), ipa(en)"
1010,disputar,kɑ:nt ɛkst,context,context,disputar,kɑ:nt ɛkst,"rotate: english(pt), portuguese(ipa), ipa(en)"
1011,contexto,kɑ:nt ənənt,continent,continent,contexto,kɑ:nt ənənt,"rotate: english(pt), portuguese(ipa), ipa(en)"
1013,continuar,kəntɪniuəs,continuous,continuous,continuar,kəntɪniuəs,"rotate: english(pt), portuguese(ipa), ipa(en)"
1130,gabar-se,kraʊd,crowd,crowd,gabar-se,kraʊd,"rotate: english(pt), portuguese(ipa), ipa(en)"
1189,nora,dɑ:nt,daunt,daunt,nora,dɑ:nt,"rotate: english(pt), portuguese(ipa), ipa(en)"
1271,partida,dipɛnd,depend,depend,partida,dipɛnd,"rotate: english(pt), portuguese(ipa), ipa(en)"
1272,depender,dɪploɪ,deploy,deploy,depender,dɪploɪ,"rotate: english(pt), portuguese(ipa), ipa(en)"
1276,deprimir,diprɛsɪñ,depressing,depressing,deprimir,diprɛsɪñ,"rotate: english(pt), portuguese(ipa), ipa(en)"
1277,deprimente,diprɛʃən,depression,depression,deprimente,diprɛʃən,"rotate: english(pt), portuguese(ipa), ipa(en)"
1402,distrito,dɪstərb,disturb,disturb,distrito,dɪstərb,"rotate: english(pt), portuguese(ipa), ipa(en)"
1403,perturbar,dɪtʃ,ditch,ditch,perturbar,dɪtʃ,"rotate: english(pt), portuguese(ipa), ipa(en)"
2330,que,həg,hug,hug,que,həg,"rotate: english(pt), portuguese(ipa), ipa(en)"
1460,levado,drɪl,drill,drill,levado,drɪl,"rotate: english(pt), portuguese(ipa), ipa(en)"
1587,encorajamento,ɪnsaɪkləpi:di ə,encyclopedia,encyclopedia,encorajamento,ɪnsaɪkləpi:di ə,"rotate: english(pt), portuguese(ipa), ipa(en)"
1617,passatempo,ɪnθu:zi æzəm,enthusiasm,enthusiasm,passatempo,ɪnθu:zi æzəm,"rotate: english(pt), portuguese(ipa), ipa(en)"
1618,entusiasmo,ɪnθu:zi æstɪk,enthusiastic,enthusiastic,entusiasmo,ɪnθu:zi æstɪk,"rotate: english(pt), portuguese(ipa), ipa(en)"
1732,exportar,ɛksporteɪʃən,exportation,exportation,exportar,ɛksporteɪʃən,"rotate: english(pt), portuguese(ipa), ipa(en)"
1761,fachada,feɪs,face,face,fachada,feɪs,"rotate: english(pt), portuguese(ipa), ipa(en)"
1892,labareda,flæʃ,flash,flash,labareda,flæʃ,"rotate: english(pt), portuguese(ipa), ipa(en)"
1893,repentinamente,flæʃlaɪt,flashlight,flashlight,repentinamente,flæʃlaɪt,"rotate: english(pt), portuguese(ipa), ipa(en)"
1894,lanterna,flæt,flat,flat,lanterna,flæt,"rotate: english(pt), portuguese(ipa), ipa(en)"
1905,inconstante,flaɪt,flight,flight,inconstante,flaɪt,"rotate: english(pt), portuguese(ipa), ipa(en)"
1908,relaxamento,flərt,flirt,flirt,relaxamento,flərt,"rotate: english(pt), portuguese(ipa), ipa(en)"
2008,compor,freɪmuərk,framework,framework,compor,freɪmuərk,"rotate: english(pt), portuguese(ipa), ipa(en)"
2172,controle,græs,grass,grass,controle,græs,"rotate: english(pt), portuguese(ipa), ipa(en)"
2222,martelo,hænd,hand,hand,martelo,hænd,"rotate: english(pt), portuguese(ipa), ipa(en)"
2223,colocar em desvantagem,hændəl,handle,handle,colocar em desvantagem,hændəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
2233,equipamento,hɑ:rm,harm,harm,equipamento,hɑ:rm,"rotate: english(pt), portuguese(ipa), ipa(en)"
2286,sequestrar,hɪl,hill,hill,sequestrar,hɪl,"rotate: english(pt), portuguese(ipa), ipa(en)"
2290,quadril,haɪər,hire,hire,quadril,haɪər,"rotate: english(pt), portuguese(ipa), ipa(en)"
2304,honesto,həni,honey,honey,honesto,həni,"rotate: english(pt), portuguese(ipa), ipa(en)"
2305,mel,hənimu:n,honeymoon,honeymoon,mel,hənimu:n,"rotate: english(pt), portuguese(ipa), ipa(en)"
2307,honra,hʊd,hood,hood,honra,hʊd,"rotate: english(pt), portuguese(ipa), ipa(en)"
2344,eu,aɪs,ice,ice,eu,aɪs,"rotate: english(pt), portuguese(ipa), ipa(en)"
2391,independente,ɪndɛks,index,index,independente,ɪndɛks,"rotate: english(pt), portuguese(ipa), ipa(en)"
2456,interpretar,ɪntərəpt,interrupt,interrupt,interpretar,ɪntərəpt,"rotate: english(pt), portuguese(ipa), ipa(en)"
2457,interromper,ɪntərvəl,interval,interval,interromper,ɪntərvəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
2458,intervalo,ɪntərvɛnʃən,intervention,intervention,intervalo,ɪntərvɛnʃən,"rotate: english(pt), portuguese(ipa), ipa(en)"
2567,labor union -,laboratory læbrətori,sindicato,sindicato,labor union -,laboratory læbrətori,"rotate: english(pt), portuguese(ipa), ipa(en)"
2604,contratuais,lɛðər,leather,leather,contratuais,lɛðər,"rotate: english(pt), portuguese(ipa), ipa(en)"
2676,localizar,lɑ:k,lock,lock,localizar,lɑ:k,"rotate: english(pt), portuguese(ipa), ipa(en)"
2732,gerenciamento,mænɪdʒər,manager,manager,gerenciamento,mænɪdʒər,"rotate: english(pt), portuguese(ipa), ipa(en)"
2814,metropolitano,mɛksɪkoʊ,Mexico,Mexico,metropolitano,mɛksɪkoʊ,"rotate: english(pt), portuguese(ipa), ipa(en)"
2838,menor gravidade,mənorəti,minority,minority,menor gravidade,mənorəti,"rotate: english(pt), portuguese(ipa), ipa(en)"
2845,marido,mɪsəl,missile,missile,marido,mɪsəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
2882,sogra,moʊʃən,motion,motion,sogra,moʊʃən,"rotate: english(pt), portuguese(ipa), ipa(en)"
2883,movimento,moʊtɪv,motive,motive,movimento,moʊtɪv,"rotate: english(pt), portuguese(ipa), ipa(en)"
2886,motocicleta,maʊnt,mount,mount,motocicleta,maʊnt,"rotate: english(pt), portuguese(ipa), ipa(en)"
2923,narrow-,næroʊmaɪndɪd de visão limitada; intolerante,minded,minded,narrow-,næroʊmaɪndɪd de visão limitada; intolerante,"rotate: english(pt), portuguese(ipa), ipa(en)"
3037,desligado,əfɛnd,offend,offend,desligado,əfɛnd,"rotate: english(pt), portuguese(ipa), ipa(en)"
3047,old-,oʊldfæʃənd,fashioned,fashioned,old-,oʊldfæʃənd,"rotate: english(pt), portuguese(ipa), ipa(en)"
3074,ordenar,ɔ:rd ənɛri,ordinary,ordinary,ordenar,ɔ:rd ənɛri,"rotate: english(pt), portuguese(ipa), ipa(en)"
3162,falecimento,pæʃən,passion,passion,falecimento,pæʃən,"rotate: english(pt), portuguese(ipa), ipa(en)"
3333,correio,pɑ:stch ər,posture,posture,correio,pɑ:stch ər,"rotate: english(pt), portuguese(ipa), ipa(en)"
3364,presentear,prɪzɛntəmənt,presentiment,presentiment,presentear,prɪzɛntəmənt,"rotate: english(pt), portuguese(ipa), ipa(en)"
3365,pressentimento,prɪzərv,preserve,preserve,pressentimento,prɪzərv,"rotate: english(pt), portuguese(ipa), ipa(en)"
3366,presidente,prɛs,press,press,presidente,prɛs,"rotate: english(pt), portuguese(ipa), ipa(en)"
3391,escola particular,prɪvlɪdj,privilege,privilege,escola particular,prɪvlɪdj,"rotate: english(pt), portuguese(ipa), ipa(en)"
3392,privilegiar,prɪvi,privy,privy,privilegiar,prɪvi,"rotate: english(pt), portuguese(ipa), ipa(en)"
3395,surgem problemas,prɑ:b əbɪləti,probability,probability,surgem problemas,prɑ:b əbɪləti,"rotate: english(pt), portuguese(ipa), ipa(en)"
3396,probabilidade,prɑ:b əbəl,probable,probable,probabilidade,prɑ:b əbəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
3416,progredir,proʊhɪbət,prohibit,prohibit,progredir,proʊhɪbət,"rotate: english(pt), portuguese(ipa), ipa(en)"
3518,hierarquizar,ræp,rap,rap,hierarquizar,ræp,"rotate: english(pt), portuguese(ipa), ipa(en)"
3607,mencionar,rɪmɑ:rk əbəl,remarkable,remarkable,mencionar,rɪmɑ:rk əbəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
3639,investigar,rɪsərtʃər,researcher,researcher,investigar,rɪsərtʃər,"rotate: english(pt), portuguese(ipa), ipa(en)"
3640,pesquisador,rɪzɛmbləns,resemblance,resemblance,pesquisador,rɪzɛmbləns,"rotate: english(pt), portuguese(ipa), ipa(en)"
3698,cavalgar,raɪdər,rider,rider,cavalgar,raɪdər,"rotate: english(pt), portuguese(ipa), ipa(en)"
3699,viajante,rɪdj,ridge,ridge,viajante,rɪdj,"rotate: english(pt), portuguese(ipa), ipa(en)"
3813,dizer,skeɪl,scale,scale,dizer,skeɪl,"rotate: english(pt), portuguese(ipa), ipa(en)"
3922,completamente,ʃi:t,sheet,sheet,completamente,ʃi:t,"rotate: english(pt), portuguese(ipa), ipa(en)"
4105,sadio,saʊndpru:f,soundproof,soundproof,sadio,saʊndpru:f,"rotate: english(pt), portuguese(ipa), ipa(en)"
4290,subjugar,səbmɪt,submit,submit,subjugar,səbmɪt,"rotate: english(pt), portuguese(ipa), ipa(en)"
4316,combinar,su:t əbəl,suitable,suitable,combinar,su:t əbəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
4499,caminho,θrɛt,threat,threat,caminho,θrɛt,"rotate: english(pt), portuguese(ipa), ipa(en)"
4507,emocionante,θraɪv,thrive,thrive,emocionante,θraɪv,"rotate: english(pt), portuguese(ipa), ipa(en)"
4527,arrumar,taɪ,tie,tie,arrumar,taɪ,"rotate: english(pt), portuguese(ipa), ipa(en)"
4544,pneu,taɪərd,tired,tired,pneu,taɪərd,"rotate: english(pt), portuguese(ipa), ipa(en)"
4545,cansado,taɪərɪñ,tiring,tiring,cansado,taɪərɪñ,"rotate: english(pt), portuguese(ipa), ipa(en)"
4609,publicidade,treɪn,train,train,publicidade,treɪn,"rotate: english(pt), portuguese(ipa), ipa(en)"
4634,processo,traɪæŋgəl,triangle,triangle,processo,traɪæŋgəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
4708,universo,iu:n əvərsəti,university,university,universo,iu:n əvərsəti,"rotate: english(pt), portuguese(ipa), ipa(en)"
4709,universidade,ənnoʊn,unknown,unknown,universidade,ənnoʊn,"rotate: english(pt), portuguese(ipa), ipa(en)"
4853,tecelagem,uɛb,web,web,tecelagem,uɛb,"rotate: english(pt), portuguese(ipa), ipa(en)"
4916,para-brisa,uaɪn,wine,wine,para-brisa,uaɪn,"rotate: english(pt), portuguese(ipa), ipa(en)"
4917,vinho,uɪñ,wing,wing,vinho,uɪñ,"rotate: english(pt), portuguese(ipa), ipa(en)"
4949,pessoa viciada em trabalho,uərkdeɪ,workday,workday,pessoa viciada em trabalho,uərkdeɪ,"rotate: english(pt), portuguese(ipa), ipa(en)"
53,exterior,əbrəpt,abrupt,abrupt,exterior,əbrəpt,"rotate: english(pt), portuguese(ipa), ipa(en)"
447,propaganda,bɪlbord,billboard,billboard,propaganda,bɪlbord,"rotate: english(pt), portuguese(ipa), ipa(en)"
495,board,"prancha, tábua; quadro de avisos",bord,bord,board,"prancha, tábua; quadro de avisos","rotate: english(pt), portuguese(ipa), ipa(en)"
649,cafeteria,keɪdj,cage,cage,cafeteria,keɪdj,"rotate: english(pt), portuguese(ipa), ipa(en)"
790,malagueta,tʃɪl,chill,chill,malagueta,tʃɪl,"rotate: english(pt), portuguese(ipa), ipa(en)"
814,civil,sɪvələzeɪʃən,civilization,civilization,civil,sɪvələzeɪʃən,"rotate: english(pt), portuguese(ipa), ipa(en)"
923,trocar,kɑ:mp ækt,compact,compact,trocar,kɑ:mp ækt,"rotate: english(pt), portuguese(ipa), ipa(en)"
1042,cord,"cordão, fio",kord,kord,cord,"cordão, fio","rotate: english(pt), portuguese(ipa), ipa(en)"
1049,corpse,"cadáver, corpo, defunto",korps,korps,corpse,"cadáver, corpo, defunto","rotate: english(pt), portuguese(ipa), ipa(en)"
1312,diabetes,daɪəgnoʊs,diagnose,diagnose,diabetes,daɪəgnoʊs,"rotate: english(pt), portuguese(ipa), ipa(en)"
1335,digital,dɪgnəfaɪ,dignify,dignify,digital,dɪgnəfaɪ,"rotate: english(pt), portuguese(ipa), ipa(en)"
1925,flauta,flətər,flutter,flutter,flauta,flətər,"rotate: english(pt), portuguese(ipa), ipa(en)"
1956,force,"força, potência; forçar",fors,fors,force,"força, potência; forçar","rotate: english(pt), portuguese(ipa), ipa(en)"
2159,se,greɪn,grain,grain,se,greɪn,"rotate: english(pt), portuguese(ipa), ipa(en)"
2675,local,loʊkeɪt,locate,locate,local,loʊkeɪt,"rotate: english(pt), portuguese(ipa), ipa(en)"
2885,motor,moʊtərsaɪkəl,motorcycle,motorcycle,motor,moʊtərsaɪkəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
3313,porch,"varanda, pátio",portch,portch,porch,"varanda, pátio","rotate: english(pt), portuguese(ipa), ipa(en)"
3989,internet,sɪtɪñ,sitting,sitting,internet,sɪtɪñ,"rotate: english(pt), portuguese(ipa), ipa(en)"
4707,universal,iu:n əvərs,universe,universe,universal,iu:n əvərs,"rotate: english(pt), portuguese(ipa), ipa(en)"
4828,warm,"morno, tépido",uorm,uorm,warm,"morno, tépido","rotate: english(pt), portuguese(ipa), ipa(en)"
4953,worn,particípio passado de wear,uorn,uorn,worn,particípio passado de wear,"rotate: english(pt), portuguese(ipa), ipa(en)"
4997,yours,"seu, sua, do senhor, etc. [no lugar de um substantivo]",iorz,iorz,yours,"seu, sua, do senhor, etc. [no lugar de um substantivo]","rotate: english(pt), portuguese(ipa), ipa(en)"
1044,core,"núcleo, centro",kor,kor,core,"núcleo, centro","rotate: english(pt), portuguese(ipa), ipa(en)"
